WORD,LastCell
C1GGT8,2-amino-3-oxo-butanoic_acid
"C1GJS2,""5-hydroxy-N6,N6,N6-trimethyl"""
A0A0A0HVP8,Amidation
C1GIX7,Replacement of proton with ammonium ion
C1FYR6,Replacement of proton by potassium
C1GK99,Methylation(KR);Dehydration
C1GEU2,Carbamidomethylation
C1G9C0,Methylation(KR)
C1G8V5,Carbamidomethylation
C1G3C4,Formylation;Methylation(KR)
C1G3Y8,Acetylation (Protein N-term);Methylation(KR)
A0A0A0HS69,Carboxylation (E)
C1FZR3,Phosphorylation (STY);Carbamidomethylation;Methylation(KR)
C1G0D4,Methylation(KR);Acetylation (K);Amidation;Carbamylation;Carboxylation (E);Carbamidomethylation;Dehydration
A0A0A0HWK8,Pyro-glu from Q
C1G9D5,Oxidation (M);Carbamidomethylation
C1GMU5,Beta-methylthiolation (ND)
C1GCX5,Oxidation (M)
C1G9T0,Pyro-glu from Q
A0A0A0HWS3,Deamidation (R)
C1GLI9,Phosphorylation (STY);Methylation(KR)
C1FZL1,Oxidation (M)
C1FYJ9,Sodium adduct;Acetylation (K);Methylation(KR)
A0A0A0HU84,2-amino-3-oxo-butanoic_acid
C1GA20,Deamidation (NQ);Acetylation (K);Methylation(KR)
C1GAG5,Carbamidomethylation
C1GBC4,Oxidation (M)
C1GB65,Levuglandinyl-lysine anhyropyrrole adduct
C1G3Y8,Carbamylation;Methylation(KR);Oxidation (M)
C1FYW9,Ubiquitination
C1G283,Dihydroxy;Deamidation (NQ)
C1G5F6,O-Diisopropylphosphorylation
C1G411,Carboxylation (DKW)
C1G2P3,Phosphorylation (STY);Amidation
A0A0A0HRF5,Carbamidomethylation
C1G065,Carbamidomethylation;Methylation(KR);Dimethylation(KR)
C1G1F2,Phosphorylation (STY);Acetylation (K);Methylation(KR);Carbamylation
C1GLU6,Methylation(KR);Carbamidomethylation;Phosphorylation (STY)
C1G1V9,Carbamidomethylation;2-amino-3-oxo-butanoic_acid
C1G631,2-amino-3-oxo-butanoic_acid
C1GAC4,Amidation
C1GLI9,Sodium adduct
C1GM08,Carbamidomethylation
C1G6J5,Oxidation (M)
A0A0A0HV62,Acetylation (TSCYH)
C1G5A0,2-amino-3-oxo-butanoic_acid
C1G1T5,Formylation
C1GEV1,Dehydration;Deamidation (NQ)
C1GC82,Formylation
C1G0E5,Replacement of proton by potassium
C1G9D7,Deamidation (NQ);Methylation(KR)
C1GA20,Dehydration;Methylation(KR)
C1GBM4,Sulfation
C1G002,Oxidation (M);Carbamidomethylation;Sodium adduct;Deamidation (NQ)
C1GM00,Carbamidomethylation;Acetylation (K);Methylation(KR);Dimethylation(KR);Lysine oxidation to aminoadipic semialdehyde;Aminoethylcysteine;Carbamylation;Carboxylation (DKW);2-amino-3-oxo-butanoic_acid;Deamidation (R);Oxidation (M);Replacement of 2 protons by nickel;Methylation(others)
C1GMV8,Levuglandinyl-lysine pyrrole adduct
C1GM00,2-amino-3-oxo-butanoic_acid;Carbamidomethylation
C1GEN5,Replacement of proton by potassium
C1G0D4,Phosphorylation (STY);Dihydroxy
A0A0A0HUI8,Carbamidomethylation
C1GLJ7,Oxidation (M)
A0A0A0HV09,Carbamidomethylation;Methylation(KR)
C1GDQ2,Carbamidomethylation
A0A0A0HRG7,Acetylation (N-term)
C1G064,Pyro-glu from Q;Carbamidomethylation;Methylation(KR)
C1G1F2,Acetylation (K);Carbamidomethylation;Methylation(KR);Amidation;Oxidation (M)
C1FYJ9,Dihydroxy
C1GDJ1,Carbamidomethylation
C1G172,Dihydroxy
C1G810,Carbamylation;Deamidation (NQ);Carbamidomethylation;Methylation(KR)
C1FYW9,Dehydration;Methylation(KR)
C1GGG3,Carbamidomethylation
C1GKC9,Replacement of proton by lithium
C1GCI0,Oxidation (M)
C1G1C8,Carbamidomethylation
A0A0A0HV09,Dimethylation(KR)
C1G5F6,Guanidination
C1G3T6,Acetylation (N-term);Amidation
C1GCK9,Acetylation (N-term);Acetylation (K);Methylation(KR);Deamidation (NQ);Carboxylation (DKW);Phosphorylation (STY);Sodium adduct
C1FYE6,Pyro-glu from Q
C1G0P0,Deamidation (NQ);Methylation(KR)
C1GAG4,Dihydroxy
C1G391,Dehydration;Acetylation (K)
C1G9C0,Acetylation (N-term);Methylation(KR);Deamidation (NQ);Carboxylation (DKW);Phosphorylation (STY);Carbamidomethylation;Sodium adduct;Dihydroxy
C1G283,Phosphorylation (STY);Oxidation (M)
C1G606,Carbamidomethylation
C1G821,Dihydroxy
C1GGW3,Carbamidomethylation
C1G002,Methylation(KR);Dimethylation(KR)
