WORD,LastCell
A0A0A0HTN8,Oxidation (M)
C1GGQ1,Phosphorylation (STY);Acetylation (K);Amidation;Dihydroxy
C1GLI2,Sodium adduct;Methylation(KR)
C1G0Q3,Acetylation (N-term);Carboxylation (DKW)
C1G7T4,Deamidation (NQ);Acetylation (K);Sodium adduct;Amidation;Dehydration
C1GMH9,Methylation(KR);Acetylation (K)
A0A0A0HWK8,Pyro-glu from Q
C1GCX5,Oxidation (M);Deamidation (NQ)
C1GL98,Methylation(KR);Sulfation
C1GN32,Formylation
A0A0A0HV62,Acetylation (N-term);Sulfation;Acetylation (K);Methylation(KR);Carbamylation;Carboxylation (DKW);Phosphorylation (STY);Formylation;Carbamidomethylation;Sodium adduct;Dihydroxy;Biotinylation
C1G2S7,Phosphorylation (STY);Formylation;Acetylation (K);Sodium adduct
C1GHF6,Oxidation (M)
C1G596,Formylation;Phosphorylation (STY)
C1G989,Oxidation (M);Carbamidomethylation;Acetylation (K)
C1GIX4,Ethyl amino
C1G3P8,Phosphorylation (STY);Methylation(KR);Amidation;Carboxylation (E);Dihydroxy;Biotinylation
C1GDG5,Carbamidomethylation;Oxidation (M)
C1GH32,Acetylation (N-term);Acetylation (K)
C1GLI9,Sodium adduct;Acetylation (K)
C1GM08,Carbamidomethylation
C1FYF8,Oxidation (M);Deamidation (NQ)
A0A0A0HV62,Acetylation (TSCYH)
C1GMZ1,Amidination of lysines or N-terminal amines with methyl acetimidate
C1G5V0,Deamidation (NQ);Amidation
C1GG28,Benzoyl
C1GA10,Dehydration
A0A0A0HTB4,Carbamidomethylation
C1GMH9,Phosphorylation (STY);Methylation(KR)
C1GM00,2-amino-3-oxo-butanoic_acid
C1GG28,Formylation
C1GKH0,Oxidation (M)
C1G0D4,Phosphorylation (STY);Methylation(KR);Oxidation (M);Dihydroxy
C1GH32,Phosphorylation (STY)
A0A0A0HV09,Carbamidomethylation
A0A0A0HRG7,Acetylation (N-term);Methylation(KR)
C1GDG5,Phosphorylation (STY);Sodium adduct
C1G1F2,Acetylation (K);Formylation;Carbamidomethylation;Deamidation (NQ);Dehydration
C1GKC9,Replacement of proton by lithium
C1G1C8,Carbamidomethylation
C1GDU6,Carbamidomethylation
C1GLB8,Replacement of 2 protons by calcium
C1G1F2,Trifluoroleucine
C1G4I1,Acetylation (N-term);Acetylation (K);Oxidation (M)
C1GL98,Diethylation
C1FYF8,Methylation(KR);Phosphorylation (STY);Deamidation (NQ);Acetylation (K);Oxidation (M)
C1G389,Carbamidomethylation
C1G0P0,Deamidation (NQ);Acetylation (K);Methylation(KR);Phosphorylation (STY);Oxidation (M);Dihydroxy
C1GB04,Carbamidomethylation;Biotinylation
C1G989,Acetylation (K)
C1G1F2,Deamidation (R)
C1G8G0,Oxidation (M);Deamidation (NQ);Acetylation (K);Carboxylation (DKW)
C1GBJ3,Acetylation (K)
C1G9P8,Oxidation (M);Carbamidomethylation
