WORD,LastCell
C1GLI2,Sodium adduct;Methylation(KR)
C1G9C0,Methylation(KR)
C1G0D4,Methylation(KR);Carboxylation (E);Carbamidomethylation;Oxidation (M);Dehydration
A0A0A0HWS3,Deamidation (NQ)
C1GCX5,Oxidation (M)
C1GB65,Dehydration;Methylation(KR)
C1FZL1,Oxidation (M)
C1GA20,Deamidation (NQ);Methylation(KR)
C1G1C8,Acetylation (Protein N-term);Carboxylation (DKW)
C1G065,Deamidation (NQ);Acetylation (K);Methylation(KR);Carbamylation;Carboxylation (DKW);Phosphorylation (STY);Oxidation (M);Carbamidomethylation
C1GHF6,Oxidation (M)
C1G3Y8,Carbamylation;Methylation(KR)
C1FYW9,Ubiquitination
C1G2V1,Propargylamine
C1GE52,Oxidation (HW)
C1G1F2,Chlorination of tyrosine residues
C1G1T5,Formylation;Carbamidomethylation;Methylation(KR);Deamidation (NQ)
C1G3L4,Acetylation (N-term);Phosphorylation (STY)
C1G6U5,Methylation(KR);Deamidation (NQ)
C1GMV8,Levuglandinyl-lysine pyrrole adduct
C1GG28,Formylation
C1FZL1,Methylation(KR)
C1G064,Pyro-glu from Q;Deamidation (NQ);Carbamidomethylation;Methylation(KR);Oxidation (M)
C1GLM2,Carbamylation;Methylation(KR)
A0A0A0HS69,Pyridylacetyl
C1GGG3,Carbamidomethylation
A0A0A0HT80,Carbamidomethylation;Formylation;Dehydration
C1GEG2,Carbamidomethylation;Oxidation (M)
C1GAG4,Dihydroxy;Carbamidomethylation
C1G1F2,Deamidation (R)
C1G5J0,Acetylation (Protein N-term);Deamidation (NQ);Methylation(KR)
C1GCI0,Dihydroxy;Phosphorylation (STY)
C1GEX7,Acetylation (K)
C1G1T5,Deamidation (R);Carbamidomethylation
C1G1F2,Pyro-glu from Q;Oxidation (M)
C1G3T6,Ethanolation (KR)
C1G712,Acetylation (N-term);Acetylation (K);Methylation(KR);Dimethylation(KR);Deamidation (NQ);Phosphorylation (STY);Sodium adduct;Myristoylation
C1GBC4,Phosphorylation (STY);Acetylation (K)
C1G1G2,Dihydroxy
C1GDL1,Oxidation (M);Carbamidomethylation
C1GHJ0,Carbamidomethylation;Deamidation (NQ);Methylation(others)
C1G4M5,Sodium adduct
C1GEX7,Deamidation (NQ);Methylation(KR);Dihydroxy;Phosphorylation (STY);Oxidation (M);Dehydration
C1G5V6,Acetylation (Protein N-term);Carbamidomethylation
C1GBS0,Oxidation (M)
C1GGI0,Carbamidomethylation;Hexose (NSY);Methylation(KR);Amidation
C1GEN5,Acetylation (Protein N-term);Amidation
C1G002,Acetylation (N-term);Carbamidomethylation;Methylation(KR);Phosphorylation (STY);Biotinylation
C1GKC9,Acetylation (N-term);Deamidation (NQ);Acetylation (K);Methylation(KR);Phosphorylation (STY)
C1GGT8,Ubiquitin
C1GLI9,Carbamidomethylation;Methylation(KR);Acetylation (N-term);Dehydration
C1G283,Dehydration;Methylation(KR)
C1GAC4,Acetylation (Protein N-term);Methylation(KR)
C1GFA3,Acetylation (N-term);Sulfation;Deamidation (NQ);Acetylation (K);Methylation(KR)
C1GA20,Acetylation (Protein N-term)
C1GKQ6,Oxidation (M)
C1GGQ3,Carbamidomethylation
C1GHS5,Phosphorylation (STY);Methylation(KR);Deamidation (NQ);Carboxylation (DKW);Formylation;Sodium adduct;Dihydroxy
C1G3Y8,Methylation(KR);Deamidation (NQ);Carbamylation
C1G9P8,Phosphorylation (STY);Oxidation (HW);Biotinylation
C1GAT8,Pyro-glu from Q
C1GAM9,Pyro-glu from Q;Methylation(KR)
C1G9P8,Carbamylation;Acetylation (K)
C1GBZ4,Methylation(others)
C1G1R3,Carbamidomethylation
C1GKC9,Acetylation (K)
C1GB65,Phosphorylation (HCDR)
