WORD,LastCell
C1GN64,Oxidation (M)
A0A0A0HTN8,Oxidation (M)
C1GGQ1,Phosphorylation (STY);Acetylation (K);Amidation;Dihydroxy
C1GLI2,Sodium adduct;Methylation(KR)
C1G0Q3,Acetylation (N-term);Carboxylation (DKW)
C1G7N9,Carbamidomethylation
C1G7T4,Deamidation (NQ);Acetylation (K);Sodium adduct;Amidation;Dehydration
C1GMH9,Methylation(KR);Acetylation (K)
A0A0A0HWK8,Pyro-glu from Q
C1GCX5,Oxidation (M);Deamidation (NQ)
C1GL98,Methylation(KR);Sulfation
C1GN32,Formylation
C1G0R5,Formylation
A0A0A0HV62,Acetylation (N-term);Sulfation;Acetylation (K);Methylation(KR);Carbamylation;Carboxylation (DKW);Phosphorylation (STY);Formylation;Carbamidomethylation;Sodium adduct;Dihydroxy;Biotinylation
C1G2S7,Phosphorylation (STY);Formylation;Acetylation (K);Sodium adduct
C1GBQ7,Dehydration;Methylation(KR)
C1GAG5,Carbamidomethylation
C1FZL1,Oxidation (M)
C1GA20,Deamidation (NQ)
C1GMD2,Oxidation (M)
C1GJQ1,Carbamidomethylation;Oxidation (M)
C1GHF6,Oxidation (M)
C1G596,Formylation;Phosphorylation (STY)
C1GHL9,Oxidation (M)
C1G541,Deamidation (NQ)
C1GF62,Oxidation (M)
C1G989,Oxidation (M);Carbamidomethylation;Acetylation (K)
C1GIX4,Ethyl amino
C1G8D6,Carbamidomethylation;Oxidation (M)
C1G3P8,Phosphorylation (STY);Methylation(KR);Amidation;Carboxylation (E);Dihydroxy;Biotinylation
A0A0A0HXV1,Carbamidomethylation
C1GDG5,Carbamidomethylation;Oxidation (M)
C1GH32,Acetylation (N-term);Acetylation (K)
C1GL08,2-amino-3-oxo-butanoic_acid
C1GLI9,Sodium adduct;Acetylation (K)
C1GM08,Carbamidomethylation
C1FYF8,Oxidation (M);Deamidation (NQ)
A0A0A0HV62,Acetylation (TSCYH)
C1G1V9,Carbamidomethylation
C1GMZ1,Amidination of lysines or N-terminal amines with methyl acetimidate
C1G5V0,Deamidation (NQ);Amidation
C1G589,Pyro-glu from Q
C1GG28,Benzoyl
C1GA10,Dehydration
C1G6U5,Sodium adduct
A0A0A0HTB4,Carbamidomethylation
C1GL06,Oxidation (M)
C1G002,Oxidation (M);Deamidation (NQ)
C1G8Y5,Carbamidomethylation
C1GMH9,Phosphorylation (STY);Methylation(KR)
C1GM00,2-amino-3-oxo-butanoic_acid
C1GG28,Formylation
C1GKH0,Oxidation (M)
C1G0D4,Phosphorylation (STY);Methylation(KR);Oxidation (M);Dihydroxy
C1GH32,Phosphorylation (STY)
A0A0A0HUI8,Carbamidomethylation
